fireplaces,garage_spaces,category_code,market_value,bathrooms,bedrooms,stories,sale_date,sale_price,total_area,total_livable_area,latitude,longitude
0.0,1.0,1.0,104600.0,1.0,3.0,2.0,2018-07-25,113000.0,1680.36,1196.0,40.0335331981181,-75.10762177188391
0.0,1.0,1.0,104600.0,1.0,3.0,2.0,2016-09-08,108000.0,1684.68,1196.0,40.0334968795948,-75.1075915869484
0.0,1.0,1.0,104500.0,1.0,3.0,2.0,2006-04-03,145000.0,1670.87,1196.0,40.033458583236396,-75.1075655112789
0.0,1.0,1.0,107600.0,1.0,3.0,2.0,2013-10-10,116000.0,1684.47,1196.0,40.03342114942429,-75.1075390164134
0.0,0.0,1.0,108600.0,1.0,3.0,2.0,2008-04-28,101000.0,1676.35,1196.0,40.0333469585737,-75.1074816458583
0.0,1.0,1.0,160400.0,1.0,2.0,0.0,2001-04-19,60140.0,2629.0,900.0,40.095617860518395,-74.97785877177309
0.0,0.0,1.0,160400.0,1.0,3.0,0.0,2017-06-07,105000.0,2000.0,900.0,40.0958457940516,-74.977516913952
0.0,1.0,1.0,143300.0,1.0,3.0,2.0,2005-08-24,130000.0,1738.5,1024.0,40.0505264471608,-75.1260763347997
0.0,1.0,1.0,131000.0,1.0,3.0,2.0,2006-06-30,160000.0,4384.0,1024.0,40.0510054310819,-75.1267745640024
0.0,1.0,1.0,218400.0,1.0,3.0,2.0,1998-12-29,90000.0,3200.0,1216.0,40.03990767445529,-75.2165043447727
0.0,0.0,1.0,217100.0,1.0,3.0,2.0,2013-04-16,178500.0,3200.0,1216.0,40.0400363006162,-75.21620671742271
0.0,0.0,1.0,57800.0,1.0,3.0,0.0,1999-08-24,35500.0,869.85,1212.0,40.01017895801471,-75.09295158636479
0.0,0.0,1.0,54200.0,1.0,3.0,0.0,2019-06-20,60000.0,776.2,1079.0,40.0100521940254,-75.0928297305969
0.0,0.0,1.0,55100.0,1.0,3.0,0.0,2000-02-19,32650.0,797.44,1114.0,40.0099918651377,-75.0927665835865
0.0,0.0,1.0,44700.0,1.0,3.0,2.0,2014-09-20,21600.0,740.65,840.0,40.0096871120127,-75.0924876922987
0.0,0.0,1.0,47100.0,1.0,2.0,2.0,2019-05-17,35250.0,1090.0,840.0,40.009653833112004,-75.0923811902459
0.0,0.0,1.0,47300.0,1.0,3.0,2.0,2019-04-26,58000.0,1281.0,840.0,40.009629552597204,-75.0923456394998
0.0,0.0,1.0,44600.0,1.0,3.0,2.0,2006-07-17,50000.0,721.0,840.0,40.0095653741087,-75.09237065191058
0.0,0.0,1.0,45500.0,1.0,3.0,2.0,2018-12-12,42500.0,883.7,840.0,40.009482715660795,-75.0922590925948
0.0,0.0,1.0,52200.0,1.0,3.0,2.0,2005-01-26,40000.0,988.77,1042.0,40.0092098688025,-75.0919243577563
0.0,0.0,1.0,61200.0,1.0,2.0,0.0,2019-04-12,38000.0,1790.75,1020.0,40.008892230932005,-75.0921562413593
0.0,1.0,1.0,104500.0,1.0,3.0,2.0,2018-10-02,122000.0,1672.29,1196.0,40.0332704468971,-75.10742663626152
0.0,1.0,1.0,107400.0,1.0,3.0,2.0,2015-03-09,113000.0,1645.46,1196.0,40.0332323534228,-75.10739876768001
1.0,2.0,1.0,185400.0,3.0,4.0,2.0,2017-12-04,185000.0,4918.16,1872.0,40.023829223801705,-75.0948916259311
